order_date,order_date_of_month,dow,orders,delivery_fee,restaurant_id,food_price,is_coupon_used,is_bkk,is_chain_res,is_main_dish,CASH,LINEMAN_CREDIT_CARD,RLP,L,M,S,cooking_time_in_seconds_trf,delivery_time_in_seconds_trf,total_time_waiting,%_coupon_used,%_chain_res,%_S_resturant_orders,%_L_resturant_orders,orders_per_rest,%_CASH
51,21,2,359,10.0,83,120.0,45,180,33,277,326.0,0,33,93.0,82.0,184.0,669.0,551.0,1248.0,0.12534818941504178,0.09192200557103064,0.5125348189415042,0.2590529247910863,4.325301204819277,0.9080779944289693
52,22,3,371,10.0,88,120.0,52,192,57,263,341.0,0,30,112.0,97.0,162.0,643.0,510.0,1156.0,0.14016172506738545,0.15363881401617252,0.4366576819407008,0.3018867924528302,4.215909090909091,0.9191374663072777
53,23,4,368,10.0,85,120.0,38,183,47,265,347.0,0,21,100.0,105.0,163.0,613.5,486.5,1175.5,0.10326086956521739,0.12771739130434784,0.4429347826086957,0.2717391304347826,4.329411764705882,0.9429347826086957
54,24,5,380,10.0,90,130.0,56,197,39,298,342.0,0,38,121.0,86.0,173.0,729.0,505.5,1286.0,0.14736842105263157,0.10263157894736842,0.45526315789473687,0.31842105263157894,4.222222222222222,0.9
55,25,6,383,10.0,86,135.0,31,178,54,288,336.0,0,47,91.0,104.0,188.0,761.0,531.0,1346.0,0.08093994778067885,0.1409921671018277,0.4908616187989556,0.23759791122715404,4.453488372093023,0.8772845953002611
56,26,0,385,10.0,78,135.0,41,178,45,305,345.0,0,40,125.0,78.0,182.0,757.5,488.0,1290.0,0.10649350649350649,0.11688311688311688,0.4727272727272727,0.3246753246753247,4.935897435897436,0.8961038961038961
57,27,1,439,10.0,82,130.0,38,218,59,345,387.0,0,52,136.0,125.0,178.0,791.5,472.0,1339.0,0.08656036446469248,0.13439635535307518,0.4054669703872437,0.3097949886104784,5.353658536585366,0.8815489749430524
58,28,2,409,10.0,84,149.0,33,205,75,313,372.0,0,37,124.0,92.0,193.0,737.0,494.0,1285.0,0.08068459657701711,0.18337408312958436,0.4718826405867971,0.30317848410757947,4.869047619047619,0.9095354523227384
59,29,3,423,10.0,89,119.0,42,205,78,289,389.0,0,34,112.0,105.0,206.0,713.5,464.0,1220.5,0.09929078014184398,0.18439716312056736,0.48699763593380613,0.2647754137115839,4.752808988764045,0.9196217494089834
60,30,4,433,10.0,98,140.0,57,211,89,274,387.0,0,46,103.0,122.0,208.0,727.5,536.0,1303.5,0.13163972286374134,0.20554272517321015,0.48036951501154734,0.23787528868360278,4.418367346938775,0.8937644341801386
61,31,5,471,10.0,101,120.0,52,252,118,292,429.0,0,42,98.0,131.0,242.0,776.5,551.0,1357.0,0.11040339702760085,0.2505307855626327,0.5138004246284501,0.208067940552017,4.663366336633663,0.910828025477707
62,1,6,410,10.0,93,120.0,48,215,91,277,376.0,0,34,113.0,124.0,173.0,740.0,505.0,1333.0,0.11707317073170732,0.22195121951219512,0.4219512195121951,0.275609756097561,4.408602150537634,0.9170731707317074
63,2,0,452,10.0,87,125.0,51,196,96,303,407.0,0,45,125.0,118.0,209.0,713.0,497.0,1274.0,0.11283185840707964,0.21238938053097345,0.46238938053097345,0.27654867256637167,5.195402298850575,0.9004424778761062
64,3,1,426,10.0,90,122.0,42,219,61,305,377.0,0,49,121.0,136.0,169.0,714.0,539.0,1287.0,0.09859154929577464,0.1431924882629108,0.3967136150234742,0.284037558685446,4.733333333333333,0.8849765258215962
65,4,2,421,10.0,94,130.0,48,211,47,297,369.0,0,52,124.0,124.0,173.0,707.5,539.0,1301.5,0.11401425178147269,0.11163895486935867,0.41092636579572445,0.29453681710213775,4.4787234042553195,0.8764845605700713
66,5,3,399,10.0,93,130.0,56,207,67,271,363.0,0,36,103.0,130.0,166.0,723.0,504.0,1257.0,0.14035087719298245,0.16791979949874686,0.41604010025062654,0.2581453634085213,4.290322580645161,0.9097744360902256
67,6,4,402,10.0,97,149.0,57,214,67,287,364.0,0,38,122.0,123.0,157.0,714.0,535.5,1238.0,0.1417910447761194,0.16666666666666666,0.39054726368159204,0.3034825870646766,4.144329896907217,0.9054726368159204
68,7,5,385,10.0,90,138.0,45,198,60,273,347.0,0,38,98.0,130.0,157.0,660.0,510.0,1243.5,0.11688311688311688,0.15584415584415584,0.4077922077922078,0.2545454545454545,4.277777777777778,0.9012987012987013
69,8,6,392,10.0,92,149.5,37,190,39,287,345.0,0,47,114.0,137.0,141.0,754.0,540.0,1300.5,0.09438775510204081,0.09948979591836735,0.3596938775510204,0.29081632653061223,4.260869565217392,0.8801020408163265
70,9,0,459,10.0,90,140.0,49,201,68,351,411.0,0,48,138.0,140.0,181.0,725.5,516.0,1265.5,0.10675381263616558,0.14814814814814814,0.39433551198257083,0.3006535947712418,5.1,0.8954248366013072
71,10,1,424,10.0,98,120.0,38,203,58,320,370.0,0,54,126.0,117.0,181.0,678.5,499.0,1175.0,0.08962264150943396,0.13679245283018868,0.4268867924528302,0.2971698113207547,4.326530612244898,0.8726415094339622
72,11,2,429,10.0,91,130.0,42,226,52,295,384.0,0,45,122.0,114.0,193.0,668.5,497.0,1209.0,0.0979020979020979,0.12121212121212122,0.44988344988344986,0.28438228438228436,4.714285714285714,0.8951048951048951
73,12,3,447,10.0,93,140.0,59,213,47,342,382.0,0,65,143.0,110.0,194.0,791.0,513.0,1334.5,0.1319910514541387,0.10514541387024609,0.43400447427293065,0.319910514541387,4.806451612903226,0.854586129753915
74,13,4,372,10.0,91,120.0,39,173,37,275,328.0,0,44,124.0,94.0,154.0,663.0,507.0,1218.0,0.10483870967741936,0.09946236559139784,0.41397849462365593,0.3333333333333333,4.087912087912088,0.8817204301075269
75,14,5,431,10.0,88,135.0,41,220,47,353,387.0,3,41,107.0,119.0,205.0,689.0,528.0,1274.0,0.0951276102088167,0.10904872389791183,0.4756380510440835,0.2482598607888631,4.8977272727272725,0.8979118329466357
76,15,6,520,10.0,97,130.0,41,229,55,402,459.0,6,55,139.0,147.0,234.0,677.0,497.0,1221.0,0.07884615384615384,0.10576923076923077,0.45,0.2673076923076923,5.360824742268041,0.8826923076923077
77,16,0,521,10.0,93,125.0,47,223,59,409,447.0,14,60,152.0,128.0,241.0,684.0,478.0,1202.0,0.09021113243761997,0.11324376199616124,0.46257197696737046,0.29174664107485604,5.602150537634409,0.8579654510556622
78,17,1,466,10.0,93,120.0,33,211,61,367,410.0,6,50,123.0,145.0,198.0,680.0,510.5,1263.0,0.07081545064377683,0.13090128755364808,0.4248927038626609,0.26394849785407726,5.010752688172043,0.8798283261802575
79,18,2,443,10.0,89,135.0,50,221,60,325,396.0,7,40,105.0,134.0,204.0,641.0,529.0,1241.5,0.11286681715575621,0.13544018058690746,0.4604966139954853,0.23702031602708803,4.977528089887641,0.8939051918735892
80,19,3,415,10.0,87,120.0,52,212,51,326,377.0,5,33,121.0,107.0,187.0,689.5,539.0,1261.0,0.12530120481927712,0.12289156626506025,0.4506024096385542,0.29156626506024097,4.7701149425287355,0.908433734939759
81,20,4,489,10.0,98,120.0,54,244,51,377,422.0,8,59,121.0,135.0,233.0,645.0,495.0,1209.0,0.11042944785276074,0.10429447852760736,0.47648261758691207,0.2474437627811861,4.989795918367347,0.8629856850715747
82,21,5,426,10.0,100,120.0,54,197,44,331,376.0,15,35,105.0,123.0,198.0,695.5,512.5,1226.5,0.1267605633802817,0.10328638497652583,0.4647887323943662,0.24647887323943662,4.26,0.8826291079812206
83,22,6,452,10.0,90,122.5,38,225,42,355,388.0,17,47,94.0,134.0,224.0,705.5,502.5,1271.5,0.084070796460177,0.09292035398230089,0.49557522123893805,0.2079646017699115,5.022222222222222,0.8584070796460177
84,23,0,478,10.0,85,119.0,37,194,48,375,421.0,15,42,145.0,129.0,204.0,687.0,471.0,1201.0,0.07740585774058577,0.100418410041841,0.42677824267782427,0.303347280334728,5.623529411764705,0.8807531380753139
85,24,1,500,10.0,100,120.0,35,241,60,380,431.0,11,58,133.0,135.0,232.0,685.5,475.0,1197.0,0.07,0.12,0.464,0.266,5.0,0.862
86,25,2,450,10.0,95,120.0,34,211,49,356,397.0,13,40,110.0,107.0,233.0,679.5,503.5,1243.0,0.07555555555555556,0.10888888888888888,0.5177777777777778,0.24444444444444444,4.7368421052631575,0.8822222222222222
87,26,3,414,10.0,87,120.0,41,210,54,298,347.0,22,45,119.0,99.0,196.0,697.0,513.5,1259.0,0.09903381642512077,0.13043478260869565,0.47342995169082125,0.28743961352657005,4.758620689655173,0.8381642512077294
88,27,4,424,10.0,103,120.0,36,204,52,330,369.0,11,44,102.0,104.0,218.0,649.5,504.5,1217.0,0.08490566037735849,0.12264150943396226,0.5141509433962265,0.24056603773584906,4.116504854368932,0.8702830188679245
89,28,5,409,10.0,93,115.0,45,189,35,310,352.0,16,41,113.0,100.0,196.0,673.0,483.5,1220.0,0.1100244498777506,0.08557457212713937,0.4792176039119804,0.2762836185819071,4.397849462365591,0.8606356968215159
90,29,6,483,10.0,97,120.0,35,218,48,394,409.0,16,58,116.0,118.0,249.0,688.0,503.0,1285.0,0.07246376811594203,0.09937888198757763,0.515527950310559,0.2401656314699793,4.979381443298969,0.8467908902691511
91,30,0,494,10.0,88,130.0,60,228,40,369,434.0,17,43,135.0,108.0,251.0,740.0,493.0,1282.0,0.1214574898785425,0.08097165991902834,0.5080971659919028,0.2732793522267207,5.613636363636363,0.8785425101214575
92,31,1,498,10.0,94,120.0,65,250,45,382,438.0,23,37,148.0,103.0,247.0,729.0,517.0,1281.0,0.13052208835341367,0.09036144578313253,0.4959839357429719,0.2971887550200803,5.297872340425532,0.8795180722891566
93,1,2,474,10.0,93,124.5,58,238,47,356,417.0,16,41,116.0,117.0,241.0,726.0,543.0,1287.0,0.12236286919831224,0.09915611814345991,0.5084388185654009,0.24472573839662448,5.096774193548387,0.879746835443038
94,2,3,423,10.0,84,120.0,50,186,41,301,369.0,6,48,149.0,85.0,189.0,690.0,509.0,1198.0,0.1182033096926714,0.09692671394799054,0.44680851063829785,0.35224586288416077,5.035714285714286,0.8723404255319149
95,3,4,505,10.0,102,115.0,503,240,83,366,431.0,15,59,143.0,132.0,230.0,672.0,504.0,1246.5,0.996039603960396,0.16435643564356436,0.45544554455445546,0.28316831683168314,4.950980392156863,0.8534653465346534
96,4,5,500,10.0,105,123.5,500,249,75,397,440.0,15,45,134.0,137.0,229.0,728.0,491.0,1241.0,1.0,0.15,0.458,0.268,4.761904761904762,0.88
97,5,6,517,10.0,89,129.0,517,231,87,396,436.0,27,54,157.0,132.0,228.0,742.0,489.0,1263.5,1.0,0.16827852998065765,0.4410058027079304,0.3036750483558994,5.808988764044944,0.8433268858800773
98,6,0,491,10.0,90,125.0,490,211,65,376,430.0,19,42,152.0,131.0,208.0,748.5,466.0,1268.5,0.9979633401221996,0.13238289205702647,0.42362525458248473,0.3095723014256619,5.455555555555556,0.8757637474541752
99,7,1,498,10.0,100,130.0,498,256,75,406,415.0,24,59,141.0,137.0,220.0,699.0,490.5,1238.0,1.0,0.15060240963855423,0.44176706827309237,0.28313253012048195,4.98,0.8333333333333334
100,8,2,535,10.0,109,115.0,535,269,76,418,447.0,31,57,177.0,116.0,242.0,693.0,492.0,1248.0,1.0,0.14205607476635515,0.4523364485981308,0.33084112149532713,4.908256880733945,0.8355140186915888
101,9,3,440,10.0,93,112.5,439,204,66,342,381.0,17,42,145.0,92.0,203.0,709.0,508.0,1273.0,0.9977272727272727,0.15,0.46136363636363636,0.32954545454545453,4.731182795698925,0.865909090909091
102,10,4,473,10.0,96,110.0,472,243,76,356,387.0,32,54,139.0,118.0,216.0,662.0,477.0,1204.0,0.9978858350951374,0.160676532769556,0.45665961945031713,0.2938689217758985,4.927083333333333,0.8181818181818182
103,11,5,532,10.0,101,120.0,531,271,74,403,457.0,26,49,160.0,125.0,247.0,654.0,486.0,1168.0,0.9981203007518797,0.13909774436090225,0.4642857142857143,0.3007518796992481,5.267326732673268,0.8590225563909775
104,12,6,511,10.0,101,120.0,511,239,84,394,420.0,26,65,161.0,132.0,218.0,726.0,492.0,1251.0,1.0,0.1643835616438356,0.42661448140900193,0.3150684931506849,5.0594059405940595,0.821917808219178
105,13,0,501,10.0,93,120.0,501,257,83,406,420.0,28,53,173.0,127.0,201.0,733.5,508.0,1320.0,1.0,0.1656686626746507,0.40119760479041916,0.34530938123752497,5.387096774193548,0.8383233532934131
106,14,1,505,10.0,101,110.0,505,248,82,397,435.0,21,49,152.0,126.0,227.0,669.0,481.0,1200.0,1.0,0.16237623762376238,0.4495049504950495,0.300990099009901,5.0,0.8613861386138614
107,15,2,472,10.0,86,113.5,472,246,79,371,391.0,28,53,122.0,147.0,203.0,680.0,484.5,1244.5,1.0,0.1673728813559322,0.4300847457627119,0.2584745762711864,5.488372093023256,0.8283898305084746
